Position	Season	Name	WAR	playerid
C	2013	Henry Blanco	-0.2	81
C	2007	Sal Fasano	-0.1	1205
C	1997	Sandy Martinez	-0.1	784
C	2004	Guillermo Quiroz	-0.4	7989
C	2005	Guillermo Quiroz	-0.2	7989
C	2010	J.P. Arencibia	-0.2	697
C	2001	Alberto T. Castillo	-0.1	812
C	2013	Josh Thole	-0.4	9689
C	2005	Ken Huckaby	-0.2	1306
C	2015	Josh Thole	-0.3	9689
C	2016	Josh Thole	-0.5	9689
C	2009	Michael Barrett	-0.1	762
C	2016	Dioner Navarro	-0.2	3179
C	2003	Ken Huckaby	-0.2	1306
C	1999	Mark Dalesandro	-0.3	1002940
C	2003	Kevin Cash	-1	1593
C	2002	Kevin Cash	-0.1	1593
C	2014	George Kottaras	-0.1	5506
C	2005	Greg Myers	-0.2	933
C	2001	Josh Phelps	-0.1	1318
C	2000	Charlie Greene	-0.1	1004987
C	2000	Josh Phelps	0	1318
C	2013	Mike Nickeas	0	7419
1B	1992	Domingo Martinez	0.2	1008163
1B	2000	Carlos Delgado	7.4	1297
1B	1993	John Olerud	8.1	1093
1B	2003	Carlos Delgado	5.3	1297
1B	1998	Carlos Delgado	5.7	1297
1B	2002	Carlos Delgado	4.3	1297
1B	1999	Carlos Delgado	3.6	1297
1B	2001	Carlos Delgado	4	1297
1B	2012	Edwin Encarnacion	4.3	2151
1B	2015	Edwin Encarnacion	4.5	2151
1B	2014	Edwin Encarnacion	3.6	2151
1B	2007	Matt Stairs	1.4	1384
1B	2013	Edwin Encarnacion	4	2151
1B	2015	Chris Colabello	0.8	13051
1B	2004	Carlos Delgado	2.4	1297
1B	2014	Adam Lind	1.5	8027
1B	2006	Lyle Overbay	1.8	1617
1B	2016	Edwin Encarnacion	3.9	2151
1B	1994	John Olerud	3.1	1093
1B	1996	John Olerud	2.6	1093
1B	1997	Carlos Delgado	1.8	1297
1B	2013	Adam Lind	1.6	8027
1B	1992	John Olerud	3.1	1093
1B	1993	Domingo Martinez	0.2	1008163
1B	2009	Lyle Overbay	2	1617
1B	1995	John Olerud	2.2	1093
1B	2005	Shea Hillenbrand	2.1	196
1B	2014	John Mayberry	0	3390
1B	2008	Lyle Overbay	1.6	1617
1B	2012	David Cooper	-0.1	7752
1B	1996	Juan Samuel	0.3	1011400
1B	2010	Lyle Overbay	1.1	1617
1B	2015	Justin Smoak	0.6	9054
1B	2005	Eric Hinske	1.1	1305
1B	1999	Willis Otanez	-0.1	1009889
1B	2006	Kevin Barker	-0.1	1019
1B	2012	Adam Lind	-0.1	8027
1B	2011	Adam Lind	0.2	8027
1B	2015	Matt Hague	-0.1	7772
1B	2013	Ryan Langerhans	0.1	98
1B	2007	Lyle Overbay	-0.1	1617
1B	2016	Justin Smoak	-0.1	9054
1B	2014	Dan Johnson	-0.2	2167
1B	2009	Kevin Millar	-1.2	529
1B	2004	Eric Crozier	0	3011
1B	2011	David Cooper	-0.1	7752
1B	1997	Joe Carter	-1.4	1002018
1B	2011	Juan Rivera	-0.4	843
1B	2004	Howie Clark	-0.5	1533
1B	2014	Danny Valencia	0.5	6364
1B	2006	Jason Phillips	-0.5	892
1B	1992	Pat Tabler	-0.3	1012806
1B	2012	Yan Gomes	-0.2	9627
1B	2007	Curtis Thigpen	-0.3	8260
1B	2011	Mark Teahen	0	4511
1B	2010	Randy Ruiz	-0.3	2761
1B	2002	Brian Lesher	-0.2	1309
1B	1998	Kevin Witt	-0.1	362
1B	2016	Chris Colabello	-0.5	13051
1B	2016	Matt Dominguez	-0.2	4903
1B	1992	Mike Maksudian	-0.1	1008009
2B	2015	Darwin Barney	0.2	2430
2B	1993	Roberto Alomar	5.7	860
2B	1999	Craig Grebeck	0.2	1004982
2B	2004	Frank Menechino	2	931
2B	1992	Roberto Alomar	6.1	860
2B	2015	Devon Travis	2.3	13862
2B	1998	Tony Fernandez	2.5	1004002
2B	1994	Roberto Alomar	2	860
2B	2009	Aaron Hill	4	6104
2B	1995	Roberto Alomar	2.2	860
2B	2011	Kelly Johnson	0.8	2234
2B	2000	Craig Grebeck	0.7	1004982
2B	2007	Aaron Hill	3.4	6104
2B	1999	Homer Bush	2.8	1425
2B	1999	Pat Kelly	0	1006812
2B	2008	Joe Inglett	1.7	7254
2B	2004	Orlando Hudson	3.7	1307
2B	2016	Devon Travis	2.5	13862
2B	2015	Steve Tolleson	0.1	4450
2B	2002	Orlando Hudson	0.7	1307
2B	1996	Tilson Brito	-0.1	1001446
2B	2006	Aaron Hill	2.5	6104
2B	2013	Mark DeRosa	0	1392
2B	2005	Frank Menechino	0.4	931
2B	2014	Brett Lawrie	1.8	5247
2B	1996	Felipe Crespo	0.3	1002763
2B	1999	Norberto Martin	0.3	1008185
2B	2003	Orlando Hudson	1.4	1307
2B	2001	Homer Bush	1	1425
2B	2005	Orlando Hudson	2.5	1307
2B	2008	Marco Scutaro	3	1555
2B	2010	John McDonald	0.6	395
2B	2002	Dave Berg	0.6	1288
2B	2008	Aaron Hill	0.6	6104
2B	1998	Craig Grebeck	0.8	1004982
2B	2016	Darwin Barney	1.5	2430
2B	2014	Steve Tolleson	0.2	4450
2B	1996	Domingo Cedeno	-0.2	1002101
2B	2012	Kelly Johnson	0.4	2234
2B	2003	Dave Berg	-0.8	1288
2B	2015	Ryan Goins	1.5	9807
2B	2001	Ryan Freel	0	1207
2B	2010	Aaron Hill	1.2	6104
2B	1996	Tomas Perez	0.3	965
2B	1995	Domingo Cedeno	-0.1	1002101
2B	2014	Maicer Izturis	0.2	2437
2B	2001	Cesar Izturis	0.1	656
2B	2014	Munenori Kawasaki	0.5	13047
2B	2000	Mickey Morandini	-0.2	1009151
2B	2001	Jeff Frye	-0.3	1004378
2B	2011	John McDonald	0.5	395
2B	1996	Miguel Cairo	-0.1	1412
2B	2015	Munenori Kawasaki	0.1	13047
2B	2013	Maicer Izturis	-2.2	2437
2B	2013	Ryan Goins	0.4	9807
2B	2006	Russ Adams	-1	4519
2B	2011	Aaron Hill	-0.9	6104
2B	2013	Emilio Bonifacio	-0.4	4054
2B	1992	Alfredo Griffin	-0.1	1005036
2B	2002	Homer Bush	-0.3	1425
2B	2015	Cliff Pennington	-0.2	3395
2B	1997	Carlos Garcia	-2.2	1004496
2B	2001	Chris Woodward	-0.1	1329
2B	1997	Tilson Brito	-0.6	1001446
2B	1997	Mariano Duncan	-0.3	1003554
2B	2000	Homer Bush	-1.6	1425
2B	1994	Domingo Cedeno	-1	1002101
2B	2012	Omar Vizquel	-0.7	411
2B	2010	Mike McCoy	0.4	4583
2B	2002	Joe Lawrence	-0.9	1308
2B	2016	Ryan Goins	-1	9807
2B	2006	Edgardo Alfonzo	-0.3	859
2B	2012	Mike McCoy	-0.1	4583
2B	1993	Alfredo Griffin	-0.5	1005036
2B	2014	Ryan Goins	-0.6	9807
2B	1993	Luis Sojo	-0.4	1834
2B	2014	Chris Getz	-0.1	3388
2B	2006	Ryan Roberts	-0.1	5653
2B	2010	Nick Green	-0.2	1502
2B	1993	Domingo Cedeno	-0.4	1002101
2B	2006	Luis Figueroa	-0.2	776
2B	2008	Jorge Velandia	-0.2	900
2B	2011	Chris Woodward	-0.2	1329
SS	2004	Russ Adams	0.1	4519
SS	1999	Tony Batista	3.6	124
SS	1993	Tony Fernandez	2.8	1004002
SS	2009	Marco Scutaro	4.2	1555
SS	1999	Alex Gonzalez	1.3	281
SS	2011	Yunel Escobar	3.5	4191
SS	2013	Jose Reyes	2.2	1736
SS	2002	Chris Woodward	2.3	1329
SS	2010	Alex Gonzalez	2.4	520
SS	2016	Troy Tulowitzki	2.8	3531
SS	1992	Eddie Zosky	-0.1	1014459
SS	2006	Aaron Hill	2.5	6104
SS	2008	David Eckstein	0.1	10
SS	2003	Mike Bordick	1.8	129
SS	2014	Jose Reyes	3.5	1736
SS	1995	Alex Gonzalez	0.3	281
SS	2010	Yunel Escobar	0.9	4191
SS	2000	Alex Gonzalez	-0.3	281
SS	2008	Marco Scutaro	3	1555
SS	2005	Russ Adams	0.7	4519
SS	2010	John McDonald	0.6	395
SS	2003	Chris Woodward	0.3	1329
SS	2015	Jose Reyes	0.9	1736
SS	1992	Manuel Lee	2.9	1007460
SS	1994	Dick Schofield	-0.2	1011602
SS	2015	Troy Tulowitzki	1.4	3531
SS	2004	Chris Gomez	0.3	1208
SS	1997	Alex Gonzalez	2.1	281
SS	1996	Alex Gonzalez	2.2	281
SS	2001	Alex Gonzalez	2.1	281
SS	2005	John McDonald	0.8	395
SS	2015	Ryan Goins	1.5	9807
SS	2002	Felipe Lopez	0.3	1311
SS	1995	Domingo Cedeno	-0.1	1002101
SS	2013	Munenori Kawasaki	0.8	13047
SS	2007	Royce Clayton	0.4	226
SS	2009	John McDonald	-0.1	395
SS	2012	Yunel Escobar	1.2	4191
SS	1998	Alex Gonzalez	0.3	281
SS	2012	Adeiny Hechavarria	-0.2	10459
SS	1995	Tomas Perez	-0.2	965
SS	2011	John McDonald	0.5	395
SS	2004	Chris Woodward	0	1329
SS	2007	John McDonald	1	395
SS	2006	Russ Adams	-1	4519
SS	2011	Mike McCoy	0.2	4583
SS	2006	John McDonald	-0.4	395
SS	1993	Dick Schofield	0.3	1011602
SS	1992	Alfredo Griffin	-0.1	1005036
SS	2000	Chris Woodward	-0.4	1329
SS	1999	Chris Woodward	0.1	1329
SS	1997	Tomas Perez	-0.2	965
SS	2007	Ray Olmedo	0.1	1718
SS	2008	John McDonald	-0.7	395
SS	2016	Ryan Goins	-1	9807
SS	1993	Alfredo Griffin	-0.5	1005036
SS	1994	Alex Gonzalez	0	281
SS	2014	Jonathan Diaz	-0.1	4142
SS	2015	Jonathan Diaz	0	4142
SS	1993	Luis Sojo	-0.4	1834
SS	2010	Nick Green	-0.2	1502
SS	1993	Domingo Cedeno	-0.4	1002101
SS	1998	Tomas Perez	0	965
SS	2006	Luis Figueroa	-0.2	776
SS	2008	Jorge Velandia	-0.2	900
3B	2007	Joe Inglett	0.1	7254
3B	2010	Jose Bautista	6.4	1887
3B	2011	Brett Lawrie	2.6	5247
3B	2016	Josh Donaldson	7.6	5038
3B	2015	Josh Donaldson	8.7	5038
3B	1999	Tony Fernandez	2.5	1004002
3B	2006	John Hattig	0.2	2563
3B	2016	Jimmy Paredes	0	5481
3B	1998	Tony Fernandez	2.5	1004002
3B	2003	Howie Clark	0.4	1533
3B	2009	Scott Rolen	3.1	970
3B	2006	Troy Glaus	3.4	15
3B	2007	Troy Glaus	2.7	15
3B	2002	Eric Hinske	4.8	1305
3B	1996	Ed Sprague	2.9	1012356
3B	2000	Tony Batista	2.7	124
3B	1997	Felipe Crespo	0	1002763
3B	1992	Jeff Kent	1.1	1119
3B	2005	Shea Hillenbrand	2.1	196
3B	2008	Scott Rolen	2.6	970
3B	2011	Edwin Encarnacion	0.7	2151
3B	2010	Edwin Encarnacion	1.7	2151
3B	1997	Tom Evans	0.1	1003871
3B	2003	Eric Hinske	1.4	1305
3B	1998	Mark Dalesandro	0.1	1002940
3B	1995	Ed Sprague	0.9	1012356
3B	2014	Juan Francisco	0.9	6978
3B	2009	Edwin Encarnacion	0.5	2151
3B	2005	Corey Koskie	1.7	738
3B	2013	Mark DeRosa	0	1392
3B	1999	Willis Otanez	-0.1	1009889
3B	2005	Aaron Hill	1.4	6104
3B	2014	Brett Lawrie	1.8	5247
3B	2012	Brett Lawrie	2.3	5247
3B	1996	Felipe Crespo	0.3	1002763
3B	1998	Ed Sprague	0.7	1012356
3B	2008	Marco Scutaro	3	1555
3B	2013	Brett Lawrie	1.4	5247
3B	2010	John McDonald	0.6	395
3B	1993	Ed Sprague	1.4	1012356
3B	1993	Darnell Coles	-0.9	1002436
3B	1997	Ed Sprague	-0.2	1012356
3B	2001	Felipe Lopez	0.6	1311
3B	2007	Russ Adams	-0.4	4519
3B	2016	Darwin Barney	1.5	2430
3B	2014	Steve Tolleson	0.2	4450
3B	2004	Eric Hinske	0.2	1305
3B	2003	Dave Berg	-0.8	1288
3B	1999	Casey Blake	-0.1	719
3B	1994	Ed Sprague	-0.8	1012356
3B	1995	Howard Battle	0.1	1000674
3B	2001	Jeff Frye	-0.3	1004378
3B	1992	Kelly Gruber	-0.1	1005107
3B	2012	Adeiny Hechavarria	-0.2	10459
3B	2001	Luis Lopez	-0.3	1901
3B	2014	Danny Valencia	0.5	6364
3B	2011	John McDonald	0.5	395
3B	2001	Tony Batista	0.1	124
3B	2013	Maicer Izturis	-2.2	2437
3B	2008	Jose Bautista	0	1887
3B	2001	Chris Woodward	-0.1	1329
3B	2007	Howie Clark	-0.2	1533
3B	2011	Jayson Nix	0.2	3790
3B	1997	Tilson Brito	-0.6	1001446
3B	2007	Jason Smith	0.1	1227
3B	2012	Omar Vizquel	-0.7	411
3B	2010	Jarrett Hoffpauir	0	7554
3B	2007	Hector Luna	-0.3	1874
3B	1996	Mike Huff	-0.3	1006145
3B	2007	Ryan Roberts	-0.1	5653
3B	1992	Tom Quinlan	-0.3	1010602
3B	2016	Andrew Burns	0	12779
3B	1998	Tom Evans	-0.2	1003871
3B	2016	Matt Dominguez	-0.2	4903
3B	2011	Chris Woodward	-0.2	1329
3B	2013	Andy LaRoche	-0.1	6444
RF	1998	Patrick Lennon	0.1	1007527
RF	2007	John-Ford Griffin	0.1	2182
RF	2011	Jose Bautista	8.1	1887
RF	1992	Turner Ward	0.6	1013625
RF	1998	Tony Phillips	0.8	1010300
RF	2010	Jose Bautista	6.4	1887
RF	1999	Shawn Green	6	651
RF	2014	Jose Bautista	6.3	1887
RF	2015	Jose Bautista	4.4	1887
RF	2012	Jose Bautista	2.9	1887
RF	1995	Candy Maldonado	0.1	1008015
RF	2013	Jose Bautista	4.3	1887
RF	2006	Eric Hinske	1.1	1305
RF	2007	Alex Rios	5.2	2090
RF	2006	Alex Rios	3.5	2090
RF	2000	Dave Martinez	0.8	1008160
RF	1998	Shawn Green	3.4	651
RF	2000	Raul Mondesi	2.5	1314
RF	2013	Moises Sierra	0.5	6050
RF	1995	Shawn Green	0.2	651
RF	2003	Frank Catalanotto	1.7	1241
RF	1992	Joe Carter	2.9	1002018
RF	2016	Jose Bautista	1.4	1887
RF	1997	Shawn Green	1.5	651
RF	1994	Joe Carter	0.4	1002018
RF	2001	Chris Latham	0.5	882
RF	2008	Travis Snider	0.4	2830
RF	2008	Alex Rios	5.5	2090
RF	1993	Joe Carter	2	1002018
RF	1996	Shawn Green	0.4	651
RF	2001	Raul Mondesi	1.8	1314
RF	2003	Reed Johnson	0.9	1702
RF	1997	Orlando Merced	2.2	1393
RF	1996	Robert Perez	-0.6	1010186
RF	2009	Jose Bautista	1.8	1887
RF	2011	Eric Thames	0.6	3711
RF	2010	Travis Snider	1.2	2830
RF	1996	Jacob Brumfield	0.2	1001583
RF	2009	Travis Snider	-0.2	2830
RF	2002	Jose Cruz	2.4	1296
RF	2009	Alex Rios	1	2090
RF	2002	Raul Mondesi	-0.5	1314
RF	2004	Alex Rios	1.9	2090
RF	2009	Joe Inglett	-0.1	7254
RF	1998	Felipe Crespo	-0.2	1002763
RF	2003	Bobby Kielty	-0.3	736
RF	1992	Derek Bell	0.7	1000801
RF	1995	Mike Huff	0.6	1006145
RF	2002	Jayson Werth	0.3	1327
RF	2004	Reed Johnson	0.5	1702
RF	2005	Alex Rios	0.9	2090
RF	2013	Rajai Davis	1.1	3708
RF	2015	Ezequiel Carrera	0.2	9048
RF	2005	Gabe Gross	-0.1	2184
RF	2016	Ezequiel Carrera	0.7	9048
RF	2014	Nolan Reimold	-0.1	3441
RF	2000	Marty Cordova	-1.5	132
RF	2008	Kevin Mench	0	1261
RF	2010	DeWayne Wise	0.4	1554
RF	1999	Patrick Lennon	-0.3	1007527
RF	2003	Jayson Werth	0.1	1327
RF	2016	Junior Lake	-0.1	4672
RF	2012	Moises Sierra	-0.6	6050
RF	2004	Howie Clark	-0.5	1533
RF	2011	Adam Loewen	-0.1	2134
RF	2012	Anthony Gose	0.6	5097
RF	1993	Willie Canate	0.1	1001904
RF	2008	Brad Wilkerson	-0.8	804
RF	1993	Turner Ward	-0.4	1013625
RF	2006	Chad Mottola	-0.3	1315
RF	1993	Darrin Jackson	-0.8	1006296
RF	2000	Chad Mottola	-0.1	1315
RF	2015	Michael Saunders	-0.1	9981
RF	2000	Rob Ducey	-0.2	1003520
RF	1997	Robert Perez	-0.3	1010186
RF	2010	Jeremy Reed	0	4730
RF	2002	DeWayne Wise	-0.5	1554
RF	1995	Robert Perez	-0.3	1010186
RF	1996	Mike Huff	-0.3	1006145
RF	2014	Darin Mastroianni	-0.1	7316
RF	2016	Darrell Ceciliani	-0.5	9954
RF	2002	Pedro Swann	-0.2	1323
RF	1994	Robert Perez	-0.1	1010186
RF	1994	Shawn Green	-0.7	651
RF	2014	Brad Glenn	-0.3	7392
RF	2014	Moises Sierra	-0.5	6050
RF	1992	Rob Ducey	-0.6	1003520
RF	1993	Shawn Green	-0.1	651
RF	2014	Cole Gillespie	-0.1	5888
CF	1992	Turner Ward	0.6	1013625
CF	2003	Vernon Wells	3.8	1326
CF	2006	Vernon Wells	5.8	1326
CF	1994	Mike Huff	1.4	1006145
CF	2013	Colby Rasmus	5.1	9893
CF	2010	Vernon Wells	3.6	1326
CF	2001	Jose Cruz	1.9	1296
CF	2008	Vernon Wells	1	1326
CF	1997	Shannon Stewart	0.3	1322
CF	1998	Shannon Stewart	3.1	1322
CF	2004	Vernon Wells	4	1326
CF	1999	Jose Cruz	2.5	1296
CF	1993	Devon White	5.4	1013862
CF	2008	Alex Rios	5.5	2090
CF	2000	Jose Cruz	2.3	1296
CF	2001	Vernon Wells	0.6	1326
CF	1995	Devon White	1.2	1013862
CF	1998	Jose Cruz	1.5	1296
CF	2005	Vernon Wells	3.1	1326
CF	1994	Devon White	2.1	1013862
CF	1996	Jacob Brumfield	0.2	1001583
CF	1996	Otis Nixon	0.7	1009608
CF	2002	Vernon Wells	1.4	1326
CF	2014	Dalton Pompey	0.2	12797
CF	2014	Colby Rasmus	0.9	9893
CF	1999	Brian McRae	-0.2	1008686
CF	1992	Devon White	5.9	1013862
CF	2009	Vernon Wells	-0.1	1326
CF	1992	Derek Bell	0.7	1000801
CF	2015	Kevin Pillar	4.3	12434
CF	1995	Mike Huff	0.6	1006145
CF	2007	Vernon Wells	1.8	1326
CF	2014	Kevin Pillar	0.7	12434
CF	1997	Otis Nixon	0.5	1009608
CF	2013	Anthony Gose	-0.4	5097
CF	2012	Colby Rasmus	0.9	9893
CF	2010	DeWayne Wise	0.4	1554
CF	1999	Jacob Brumfield	0.2	1001583
CF	2016	Kevin Pillar	3.2	12434
CF	2015	Dalton Pompey	0.2	12797
CF	2011	Corey Patterson	-0.1	300
CF	1999	Vernon Wells	-0.1	1326
CF	2011	Adam Loewen	-0.1	2134
CF	2012	Anthony Gose	0.6	5097
CF	2014	Anthony Gose	1.3	5097
CF	2011	Rajai Davis	-0.5	3708
CF	1995	Shannon Stewart	-0.2	1322
CF	2016	Melvin Upton Jr.	-0.3	5015
CF	1997	Jacob Brumfield	-0.3	1001583
CF	2001	Brian Simmons	-0.3	1011979
CF	2011	Colby Rasmus	-0.6	9893
CF	1994	Rob Butler	-0.9	1001783
CF	1996	Shannon Stewart	-0.3	1322
CF	2011	DeWayne Wise	-0.1	1554
CF	1996	Mike Huff	-0.3	1006145
CF	2014	Darin Mastroianni	-0.1	7316
CF	1999	Curtis Goodwin	-0.1	1004863
CF	2000	Vernon Wells	-0.1	1326
CF	2011	Darin Mastroianni	-0.1	7316
LF	1998	Tony Phillips	0.8	1010300
LF	2009	Adam Lind	3.3	8027
LF	2007	Matt Stairs	1.4	1384
LF	2015	Chris Colabello	0.8	13051
LF	2000	Shannon Stewart	4.9	1322
LF	2006	Reed Johnson	4.4	1702
LF	1995	Candy Maldonado	0.1	1008015
LF	1994	Mike Huff	1.4	1006145
LF	1992	Candy Maldonado	2.3	1008015
LF	2001	Shannon Stewart	3.6	1322
LF	2015	Danny Valencia	0.7	6364
LF	2006	Frank Catalanotto	2.6	1241
LF	2002	Shannon Stewart	3.2	1322
LF	2005	Frank Catalanotto	1.9	1241
LF	2012	Travis Snider	0	2830
LF	1998	Shannon Stewart	3.1	1322
LF	2003	Frank Catalanotto	1.7	1241
LF	1998	Jose Canseco	1.3	1001918
LF	2014	Melky Cabrera	2.5	4022
LF	1999	Shannon Stewart	1.6	1322
LF	1997	Shawn Green	1.5	651
LF	2016	Michael Saunders	1.4	9981
LF	2001	Chris Latham	0.5	882
LF	2008	Travis Snider	0.4	2830
LF	1993	Joe Carter	2	1002018
LF	2003	Reed Johnson	0.9	1702
LF	1994	Carlos Delgado	-0.5	1297
LF	2003	Shannon Stewart	0.7	1322
LF	2000	Andy Thompson	0	1013000
LF	1993	Rob Butler	0.7	1001783
LF	1996	Robert Perez	-0.6	1010186
LF	2009	Jose Bautista	1.8	1887
LF	1997	Rich Butler	0	1001782
LF	2011	Eric Thames	0.6	3711
LF	1997	Jose Cruz	0.4	1296
LF	1996	Joe Carter	-0.6	1002018
LF	2010	Travis Snider	1.2	2830
LF	2010	Fred Lewis	0.4	4693
LF	2009	Travis Snider	-0.2	2830
LF	2002	Jose Cruz	2.4	1296
LF	2005	Reed Johnson	1.4	1702
LF	2008	Adam Lind	0	8027
LF	2014	Dalton Pompey	0.2	12797
LF	2004	Frank Catalanotto	0	1241
LF	2015	Ben Revere	0.3	4712
LF	1993	Rickey Henderson	0.4	194
LF	2009	Joe Inglett	-0.1	7254
LF	1995	Joe Carter	-0.5	1002018
LF	1998	Felipe Crespo	-0.2	1002763
LF	1992	Derek Bell	0.7	1000801
LF	1993	Darnell Coles	-0.9	1002436
LF	2002	Jayson Werth	0.3	1327
LF	2004	Reed Johnson	0.5	1702
LF	1999	Anthony Sanders	-0.1	1011412
LF	2013	Rajai Davis	1.1	3708
LF	2015	Ezequiel Carrera	0.2	9048
LF	2014	Kevin Pillar	0.7	12434
LF	2013	Melky Cabrera	-0.8	4022
LF	2005	Gabe Gross	-0.1	2184
LF	2016	Ezequiel Carrera	0.7	9048
LF	2013	Anthony Gose	-0.4	5097
LF	2012	Rajai Davis	0.2	3708
LF	2000	Marty Cordova	-1.5	132
LF	2008	Kevin Mench	0	1261
LF	1997	Joe Carter	-1.4	1002018
LF	2011	Juan Rivera	-0.4	843
LF	2007	Adam Lind	0.3	8027
LF	1999	Patrick Lennon	-0.3	1007527
LF	2011	Corey Patterson	-0.1	300
LF	2008	Shannon Stewart	-0.2	1322
LF	2012	Eric Thames	-0.7	3711
LF	2004	Gabe Gross	-0.1	2184
LF	2007	Reed Johnson	-0.7	1702
LF	1993	Willie Canate	0.1	1001904
LF	2008	Brad Wilkerson	-0.8	804
LF	1993	Turner Ward	-0.4	1013625
LF	2004	Dave Berg	-1.4	1288
LF	2011	Travis Snider	0	2830
LF	1998	Juan Samuel	-0.5	1011400
LF	1994	Darnell Coles	-0.2	1002436
LF	2008	Buck Coats	0.1	2945
LF	2006	Chad Mottola	-0.3	1315
LF	2013	Kevin Pillar	0	12434
LF	2016	Melvin Upton Jr.	-0.3	5015
LF	1997	Ruben Sierra	-0.2	1099
LF	1997	Jacob Brumfield	-0.3	1001583
LF	2015	Michael Saunders	-0.1	9981
LF	2000	Rob Ducey	-0.2	1003520
LF	2004	Simon Pond	-0.4	1898
LF	2001	Brian Simmons	-0.3	1011979
LF	1997	Robert Perez	-0.3	1010186
LF	2010	Jeremy Reed	0	4730
LF	1995	Carlos Delgado	-0.7	1297
LF	1994	Rob Butler	-0.9	1001783
LF	2015	Jonathan Diaz	0	4142
LF	1995	Robert Perez	-0.3	1010186
LF	1999	Rob Butler	-0.2	1001783
LF	2009	Russ Adams	-0.2	4519
LF	2000	DeWayne Wise	-0.1	1554
LF	2016	Darrell Ceciliani	-0.5	9954
LF	2009	David Dellucci	-0.5	1402
LF	1994	Robert Perez	-0.1	1010186
LF	1994	Shawn Green	-0.7	651
LF	2004	Chad Hermansen	-0.2	991
LF	2016	Dalton Pompey	0	12797
OF	1998	Patrick Lennon	0.1	1007527
OF	2007	John-Ford Griffin	0.1	2182
OF	2011	Jose Bautista	8.1	1887
OF	1992	Turner Ward	0.6	1013625
OF	1998	Tony Phillips	0.8	1010300
OF	2010	Jose Bautista	6.4	1887
OF	1999	Shawn Green	6	651
OF	2014	Jose Bautista	6.3	1887
OF	2009	Adam Lind	3.3	8027
OF	2015	Jose Bautista	4.4	1887
OF	2007	Matt Stairs	1.4	1384
OF	2003	Vernon Wells	3.8	1326
OF	2015	Chris Colabello	0.8	13051
OF	2006	Vernon Wells	5.8	1326
OF	2000	Shannon Stewart	4.9	1322
OF	2012	Jose Bautista	2.9	1887
OF	2006	Reed Johnson	4.4	1702
OF	1995	Candy Maldonado	0.1	1008015
OF	1994	Mike Huff	1.4	1006145
OF	2013	Jose Bautista	4.3	1887
OF	1992	Candy Maldonado	2.3	1008015
OF	2006	Eric Hinske	1.1	1305
OF	2007	Alex Rios	5.2	2090
OF	2013	Colby Rasmus	5.1	9893
OF	2006	Alex Rios	3.5	2090
OF	2010	Vernon Wells	3.6	1326
OF	2000	Dave Martinez	0.8	1008160
OF	1998	Shawn Green	3.4	651
OF	2001	Shannon Stewart	3.6	1322
